ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Full Descriptor,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CTS Name,Unit
27,"Armenia, Rep. of",AM,ARM,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",5,4.8,4.8,4.8,4.7,4.7,4.6,4.5,4.5,4.5,Index for Risk Management; Lack of Coping Capacity,Index
28,"Armenia, Rep. of",AM,ARM,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",2.9,2.9,2.8,2.7,2.5,2.5,3.6,4,2.6,2.6,Index for Risk Management; Vulnerability,Index
29,Australia,AU,AUS,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,Climate-Driven Hazard & Exposure,Index
30,Australia,AU,AUS,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",2.7,2.7,2.7,2.8,2.9,2.9,2.9,2.9,2.9,2.9,Climate-Driven Inform Risk Indicator,Index
31,Australia,AU,AUS,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",2.1,2.1,2.1,2,2.1,2.1,2.1,2.1,2.1,2.1,Index for Risk Management; Lack of Coping Capacity,Index
32,Australia,AU,AUS,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",1.8,1.8,1.8,1.9,2.1,2.2,2.2,2.2,2.2,2.2,Index for Risk Management; Vulnerability,Index
33,Austria,AT,AUT,Climate-driven Hazard & Exposure,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMH,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure ",2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,Climate-Driven Hazard & Exposure,Index
34,Austria,AT,AUT,Climate-driven INFORM Risk Indicator,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMR,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator ",2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,Climate-Driven Inform Risk Indicator,Index
35,Austria,AT,AUT,Lack of coping capacity,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMC,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Lack of Coping Capacity",1.6,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,Index for Risk Management; Lack of Coping Capacity,Index
36,Austria,AT,AUT,Vulnerability,Disaster Risk Management Knowledge Centre (DRMKC). 2022. INFORM Risk Index. European Commission. https://drmkc.jrc.ec.europa.eu/inform-index/ INFORM-Risk; IMF staff calculations.,ECFRMV,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Vulnerability ",2.1,2.2,2.6,2.6,2.6,2.6,2.6,2.6,3,3,Index for Risk Management; Vulnerability,Index
